pathway,pval,padj,log2err,ES,NES,size,leadingEdge
WP_TYROBP_CAUSAL_NETWORK_IN_MICROGLIA,1.747178823906276e-17,6.985220937977291e-15,1.0768681926198325,0.8131219079214038,2.7113745705354426,59,
WP_BURN_WOUND_HEALING,1.0210176665156795e-18,5.102535788412109e-16,1.114664477517292,0.7452125779009139,2.6734421841216367,96,
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,1.576968972587315e-23,1.0507869920673476e-20,1.2545134794370567,0.6676884578878558,2.6360256606889263,195,
REACTOME_INTERLEUKIN_4_AND_INTERLEUKIN_13_SIGNALING,2.4071753967552627e-16,8.019906030189618e-14,1.0376961554875836,0.7078247810295958,2.5746596840419915,103,
REACTOME_INTERLEUKIN_10_SIGNALING,3.047573873684375e-12,5.538272884995514e-10,0.8986712320616942,0.8240744248156231,2.542286482302754,39,
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL,5.948044083798674e-16,1.6985914462162211e-13,1.027669870543582,0.6876318628274359,2.5341136284082895,112,
REACTOME_COMPLEMENT_CASCADE,5.5835427619374814e-11,7.972501415080731e-9,0.851339057116899,0.7504768740024397,2.4715328844280893,54,
KEGG_LEISHMANIA_INFECTION,5.0047825780445e-12,7.695815671931505e-10,0.8870749883998732,0.7252316343073991,2.4523924650734275,67,
REACTOME_NEUTROPHIL_DEGRANULATION,9.596391087967508e-31,1.918318578484705e-27,1.4390256526778213,0.5784391457982846,2.449718294903951,452,
WP_MICROGLIA_PATHOGEN_PHAGOCYTOSIS_PATHWAY,3.798481262326121e-10,3.615792401614246e-8,0.8140358378479079,0.7939213320486148,2.4492635734091337,39,
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,1.7177090076272109e-12,3.4337003062467946e-10,0.9101197347744591,0.7103761184035571,2.44606855493225,75,
REACTOME_CHEMOKINE_RECEPTORS_BIND_CHEMOKINES,3.062088321225202e-10,3.0605572770645894e-8,0.8140358378479079,0.785561883683591,2.4379749650063167,40,
WP_COMPLEMENT_SYSTEM,4.443537451681314e-12,7.402192804925789e-10,0.8870749883998732,0.6844798845446759,2.412087375473662,85,
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL,2.1855384292756397e-13,4.854323689024449e-11,0.9436322252328375,0.639795172434108,2.3946382597255194,126,
REACTOME_SIGNALING_BY_INTERLEUKINS,2.913827453586845e-25,2.9123705398600517e-22,1.303093150865724,0.5667162408301725,2.3731476165098657,405,
KEGG_HEMATOPOIETIC_CELL_LINEAGE,1.426686850247766e-10,1.6776158903795793e-8,0.826657301178302,0.69122253645941,2.3591639454363453,71,
WP_COMPLEMENT_AND_COAGULATION_CASCADES,6.66251041688232e-9,4.932725304943613e-7,0.7614608014455848,0.7123447944975256,2.3459531474464606,54,
WP_OVERVIEW_OF_PROINFLAMMATORY_AND_PROFIBROTIC_MEDIATORS,2.220633753213847e-10,2.3363404593023584e-8,0.826657301178302,0.6800155861304724,2.3415268320614233,75,
WP_ALLOGRAFT_REJECTION,1.7241018331543262e-10,1.9147108691530547e-8,0.826657301178302,0.6786340881151877,2.3412127489006562,76,
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,4.984498988400786e-10,4.529097035369623e-8,0.8012155746177786,0.7014091128733629,2.340723295169274,60,
PID_FRA_PATHWAY,3.333045367254368e-8,1.931305994919598e-6,0.7195128263389107,0.7718522491165266,2.3289568113197925,35,
REACTOME_INITIAL_TRIGGERING_OF_COMPLEMENT,1.2700982863551623e-7,5.5194053791825426e-6,0.6901324587967956,0.8049714960300848,2.3139017094494223,26,
REACTOME_FCGR_ACTIVATION,4.7126818718125535e-8,2.5830321151996997e-6,0.7195128263389107,0.8678887681473227,2.302146989906375,18,
REACTOME_CREATION_OF_C4_AND_C2_ACTIVATORS,6.269125713834732e-8,3.2737111807538187e-6,0.7049757151672383,0.8656187352419028,2.2961255392182225,18,
WP_NETWORK_MAP_OF_SARSCOV2_SIGNALING_PATHWAY,5.600547106868572e-14,1.3994367083287845e-11,0.9653277542260832,0.5814398444335029,2.295517216101285,195,
WP_COMPLEMENT_SYSTEM_IN_NEURONAL_DEVELOPMENT_AND_PLASTICITY,9.197497936763099e-11,1.1491123984743398e-8,0.8390889356212738,0.6320026561617631,2.2904567909434768,100,
REACTOME_ANTIMICROBIAL_PEPTIDES,1.6035251635435575e-8,1.0340150973947004e-6,0.7337619883564803,0.7723456028498433,2.285176210910761,33,
WP_PROSTAGLANDIN_SYNTHESIS_AND_REGULATION,2.4739192601471355e-8,1.4985953336467042e-6,0.7337619883564803,0.720630281445097,2.277604045742946,44,
WP_DEVELOPMENT_OF_URETERIC_COLLECTION_SYSTEM,1.184701110570189e-8,8.166267310447613e-7,0.7477396631498854,0.6848887723450826,2.27181533570603,58,
